13	226.6	10.5	1.43E+02	3.88E+00	1.36E+02	1.24E+03
13.1	227.7	10.6	1.49E+02	4.02E+00	1.40E+02	1.29E+03
13.2	228.7	10.6	1.54E+02	4.15E+00	1.45E+02	1.33E+03
13.3	229.6	10.7	1.59E+02	4.30E+00	1.50E+02	1.38E+03
13.4	230.5	10.7	1.64E+02	4.44E+00	1.55E+02	1.42E+03
13.5	231.2	10.7	1.69E+02	4.58E+00	1.60E+02	1.47E+03
13.6	231.9	10.8	1.75E+02	4.73E+00	1.65E+02	1.52E+03
13.7	232.6	10.8	1.80E+02	4.87E+00	1.70E+02	1.56E+03
13.8	233.1	10.8	1.86E+02	5.02E+00	1.75E+02	1.61E+03
13.9	233.6	10.9	1.91E+02	5.16E+00	1.80E+02	1.66E+03
14	234.1	10.8	1.97E+02	5.31E+00	1.86E+02	1.70E+03
14.1	234.5	10.8	2.02E+02	5.46E+00	1.91E+02	1.75E+03
14.2	234.9	10.9	2.08E+02	5.61E+00	1.96E+02	1.80E+03
14.3	235.2	10.9	2.13E+02	5.77E+00	2.02E+02	1.85E+03
14.4	235.5	10.9	2.19E+02	5.92E+00	2.07E+02	1.90E+03
14.5	235.8	10.9	2.25E+02	6.07E+00	2.12E+02	1.95E+03
14.6	236.0	10.9	2.30E+02	6.23E+00	2.18E+02	2.00E+03
14.7	236.2	10.9	2.36E+02	6.38E+00	2.23E+02	2.05E+03
14.8	236.3	10.9	2.42E+02	6.54E+00	2.29E+02	2.10E+03
14.9	236.5	10.9	2.48E+02	6.70E+00	2.34E+02	2.15E+03
15	236.6	10.9	2.54E+02	6.85E+00	2.40E+02	2.20E+03
15.1	236.7	10.9	2.60E+02	7.01E+00	2.45E+02	2.25E+03
15.2	236.7	10.9	2.65E+02	7.17E+00	2.51E+02	2.30E+03
15.3	236.8	10.9	2.71E+02	7.33E+00	2.56E+02	2.35E+03
15.4	236.8	10.9	2.77E+02	7.50E+00	2.62E+02	2.40E+03
15.5	236.8	10.9	2.83E+02	7.66E+00	2.68E+02	2.46E+03
15.6	236.7	10.9	2.89E+02	7.82E+00	2.73E+02	2.51E+03
15.7	236.7	10.9	2.95E+02	7.98E+00	2.79E+02	2.56E+03
15.8	236.5	10.9	3.01E+02	8.15E+00	2.85E+02	2.61E+03
15.9	236.4	10.9	3.08E+02	8.31E+00	2.91E+02	2.67E+03
16	236.2	11.5	3.14E+02	8.48E+00	2.96E+02	2.72E+03
16.1	236.0	11.5	3.20E+02	8.64E+00	3.02E+02	2.77E+03
16.2	235.8	11.5	3.26E+02	8.81E+00	3.08E+02	2.83E+03
16.3	235.5	11.5	3.32E+02	8.98E+00	3.14E+02	2.88E+03
16.4	235.1	11.5	3.38E+02	9.15E+00	3.20E+02	2.93E+03
16.5	234.7	11.4	3.45E+02	9.31E+00	3.26E+02	2.99E+03
16.6	234.3	11.4	3.51E+02	9.48E+00	3.31E+02	3.04E+03
16.7	233.8	11.4	3.57E+02	9.65E+00	3.37E+02	3.09E+03
16.8	233.3	11.4	3.63E+02	9.82E+00	3.43E+02	3.15E+03
16.9	232.7	11.3	3.70E+02	9.99E+00	3.49E+02	3.20E+03
17	232.0	11.3	3.76E+02	1.02E+01	3.55E+02	3.26E+03
17.1	231.2	11.3	3.82E+02	1.03E+01	3.61E+02	3.31E+03
17.2	230.4	11.2	3.89E+02	1.05E+01	3.67E+02	3.37E+03
17.3	229.5	11.2	3.95E+02	1.07E+01	3.73E+02	3.42E+03
17.4	228.5	11.1	4.01E+02	1.08E+01	3.79E+02	3.48E+03
17.5	227.5	11.1	4.07E+02	1.10E+01	3.85E+02	3.53E+03
17.6	226.3	11.0	4.14E+02	1.12E+01	3.91E+02	3.59E+03
17.7	225.1	11.0	4.20E+02	1.14E+01	3.97E+02	3.64E+03
17.8	223.8	10.9	4.26E+02	1.15E+01	4.03E+02	3.69E+03
17.9	222.4	10.8	4.33E+02	1.17E+01	4.09E+02	3.75E+03
18	220.8	12.0	4.39E+02	1.19E+01	4.14E+02	3.80E+03
18.1	219.2	11.9	4.45E+02	1.20E+01	4.20E+02	3.86E+03
18.2	217.5	11.8	4.51E+02	1.22E+01	4.26E+02	3.91E+03
18.3	215.7	11.7	4.57E+02	1.24E+01	4.32E+02	3.96E+03
18.4	213.8	11.6	4.64E+02	1.25E+01	4.38E+02	4.02E+03
18.5	211.7	11.5	4.70E+02	1.27E+01	4.44E+02	4.07E+03
18.6	209.6	11.4	4.76E+02	1.29E+01	4.49E+02	4.12E+03
18.7	207.4	11.2	4.82E+02	1.30E+01	4.55E+02	4.17E+03
18.8	205.1	11.1	4.88E+02	1.32E+01	4.61E+02	4.23E+03
18.9	202.7	11.0	4.94E+02	1.33E+01	4.66E+02	4.28E+03
19	200.1	10.8	5.00E+02	1.35E+01	4.72E+02	4.33E+03
19.1	197.5	10.7	5.05E+02	1.37E+01	4.77E+02	4.38E+03
19.2	194.8	10.5	5.11E+02	1.38E+01	4.83E+02	4.43E+03
19.3	192.0	10.4	5.17E+02	1.40E+01	4.88E+02	4.48E+03
19.4	189.1	10.2	5.23E+02	1.41E+01	4.93E+02	4.53E+03
19.5	186.2	10.1	5.28E+02	1.43E+01	4.99E+02	4.58E+03
19.6	183.2	9.9	5.34E+02	1.44E+01	5.04E+02	4.62E+03
19.7	180.1	9.8	5.39E+02	1.46E+01	5.09E+02	4.67E+03
19.8	177.0	9.6	5.44E+02	1.47E+01	5.14E+02	4.72E+03
19.9	173.8	9.4	5.50E+02	1.49E+01	5.19E+02	4.76E+03
20	170.6	9.3	5.55E+02	1.50E+01	5.24E+02	4.81E+03
